College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Iiser Berhampur Nirf Overall 2025,51447615,790200851,0,0,115946552,7987863,782867955,0,0,38072215,4686284,110694864,0,0,33786532,178096713,247223092,765682,136025376,184568682,288427,108992865,116146169,650832
Iiser Bhopal Nirf Overall 2025,72644901,400243906,53670604,0,154256756,49207477,285659387,36073438,0,26719057,63554132,152051546,46860663,0,20379817,749933098,942499912,36206287,655919794,910340373,28903564,562541121,740533228,1525773
Iiser Kolkata Nirf Overall 2025,75481126,272155095,0,0,58976086,76880672,176673019,0,0,89873747,67843088,94615002,0,0,76563822,641058618,572165505,6718955,586183825,529954390,4791144,512356964,407573410,985728
Iiser Mohali Nirf Overall 2025,59421934,140710181,0,0,37305771,63328033,103877663,0,0,194169510,53921359,83470584,0,0,25171892,588305348,511814421,11338463,516423278,411855636,6569070,453027864,370605627,5186914
Iiser Pune Nirf Overall 2025,68395822,282202560,0,0,45716994,68288635,255432712,0,0,53396892,63874512,276586059,0,0,44069295,730067921,660524610,24742673,673939924,595698749,834335,638620490,555577582,45710
Iiser Thiruvananthapuram Nirf Overall 2025,49401423,287375628,0,28081180,108172558,41530219,310752213,0,8817860,37463561,22815070,106452022,0,508700,46970210,426967606,611247390,22763534,334645150,438114072,15845518,363727294,275327695,461126
Iiser Tirupati Nirf Overall 2025,2505191,161660170,0,0,81422485,18237994,135213997,0,0,59360164,17590889,221520999,0,0,55634618,246372944,468949284,3989845,219799657,318365935,312794,182343288,249276662,200000
