College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22),Annual Operational Expenditure (2021-22),Annual Operational Expenditure (2022-23),Annual Operational Expenditure (2023-24),Annual Capital Expenditure (2021-22),Annual Capital Expenditure (2022-23),Annual Capital Expenditure (2023-24)
Nit Jamshedpur Nirf Engineering 2025,64619296,37165334,7808673,0,117932029,26960364,40039505,15642801,0,205437744,16159011,32702870,10276185,0,116807266,892977412,470807984,16800642,740051982,325776674,6575955,654305850,270257352,2872735,927435937,1072404611,1380586038,175945332,288080414,227525332
Nit Kurukshetra Nirf Overall 2025,34026000,22806000,20127000,0,96807000,36730573,21739204,30369437,0,128420884,30389473,144113742,57134465,0,2307912,1048784000,358315000,14524000,1035470000,382870000,19994914,990442000,386617000,3845000,1380904000,1438334914,1421623000,233945592,217260098,173766000
Nit Manipur Nirf Engineering 2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nit Meghalaya Nirf Overall 2025,24124587,39496932,3470187,0,99441194,16861743,142778633,99515262,0,81677607,14376948,132653331,4094541,0,30480857,292798170,73692129,7729632,217245251,59528568,2642184,217748440,45566401,56500,263371341,279416003,374219931,181605677,340833245,166532900
Nit Mizoram Nirf Overall 2025,3379798,44674740,25401272,0,41775509,1113893,19013733,22145315,0,83566902,15724235,28254698,6285972,0,1837541,128551647,147501531,8503584,105437616,100763863,3911645,81960191,61191591,2380341,145532123,210113124,284556762,52102446,125839843,115231319
Nit Nagaland Nirf Engineering 2025,713500,24636968,1950665,0,278620267,371980,11876866,2712375,0,18522411,2351962,243558602,3820586,0,12914298,117888587,178302688,2311349,90926484,172245369,2712077,90039693,89244884,1902515,181187092,265883930,298502624,262645448,33483632,305921400
Nit Patna Nirf Overall 2025,19043160,38361122,0,0,48214940,25380636,7611992,159680,0,18966527,86769210,16737706,695090,0,16151220,726962202,416862252,10405353,716610620,412452878,11620926,625005056,287604438,27499926,940109420,1140684424,1154229807,120353226,52118835,105619222
Nit Puducherry Nirf Overall 2025,11629684,91303913,724231,0,20106750,2651004,138214986,248738,0,63043503,1664511,112499794,3736238,0,53045079,201817285,109306681,4724245,188350956,89330583,5715969,133034833,69557543,1187275,203779651,283397508,315848211,170945622,204158231,123764578
Nit Raipur Nirf Overall 2025,18776749,31602388,3430394,0,54899237,17165385,33890450,1037925,2478,52906875,16999181,34407590,1774500,0,104276120,821355595,425473688,7237917,730215651,386633508,4783808,627962879,353600708,1027492,982591079,1121632967,1254067200,157457391,105003113,108708768
Nit Rourkela Nirf Overall 2025,72063052,81511869,10033345,3989200,274366493,42230406,120611205,2457429,2785851,97721003,20758825,109741407,40950683,471680,19294798,1438307087,1519387069,37625961,1220295150,1293886009,96117869,1130293351,1001070959,23973538,2155337848,2610299028,2995320117,191217393,265805894,441963959
Nit Silchar Nirf Overall 2025,88560600,77580942,44365986,0,52186849,84602832,73671825,33970290,0,48461935,76142442,69765676,32419148,0,44063602,890373102,521900561,29587637,807348905,445997512,27954134,687260400,420066763,17602092,1124929255,1281300551,1441861300,222390868,240706882,262694377
Nit Srinagar Nirf Overall 2025,25246509,47231985,6261517,0,139395946,44416208,88975857,2235820,30000000,100939887,26232277,59205988,7270980,34000000,286444629,895915850,725389122,25612560,769914171,594322906,12665392,634425953,493608538,769899,1128804390,1376902469,1646917532,413153874,266567772,218135957
Nit Surathkal Nirf Overall 2025,62311577,452001358,57511059,6858525,1039789220,60292768,1078378262,91327111,7248536,833963984,56502054,645588899,17595230,2724170,603768043,1458058274,1576328475,8921600,1341309464,1364427696,449654,1219057190,1391304458,3009463,2613371111,2706186814,3043308349,1326178396,2071210661,1618471739
Nit Uttarakhand Nirf Overall 2025,12851320,11435715,156533,0,9401622,5636151,11566843,51532,0,23923849,10377766,1034822,2123556,0,5144792,173347252,3476137,1450103,183838765,1521784,1697147,168051997,1775860,745652,170573509,187057696,178273492,18680936,41178375,33845190
Nit Warangal Nirf Engineering 2025,61208287,131846194,12493884,0,72766807,59099482,281512097,16338135,0,182281558,55052090,148347864,16246719,0,53012681,1289147390,1388646412,76575245,1214818000,1181716694,49386214,1028599459,871437903,29020967,1929058329,2445920908,2754369047,272659354,539231272,278315172
Sardar Vallabhbhai Nit Nirf Engineering 2025,55696364,100219284,1401969,0,382997473,63342666,137213329,25904832,0,113666784,32208869,61669792,4631191,0,81933275,1025370217,616922275,8116174,871689788,611739957,7190579,807976584,585730455,8160475,1401867514,1490620324,1650408666,180443127,340127611,540315090
Visvesvaraya Nit Nirf Overall 2025,20535132,61888764,282807,181404,187391115,19088000,56149000,5243056,618944,247250000,26194000,79920000,963000,562676,276775181,1637174251,680256994,29936503,1306047000,380737000,31188000,1134330000,329607000,6019000,1469956000,1717972000,2347367748,384414857,328349000,270279222
