College Name,Library (2023-24),New Equipment for Laboratories (2023-24),Engineering Workshops (2023-24),Studios (2023-24),Other expenditure on creation of Capital Assets (2023-24),Library (2022-23),New Equipment for Laboratories (2022-23),Engineering Workshops (2022-23),Studios (2022-23),Other expenditure on creation of Capital Assets (2022-23),Library (2021-22),New Equipment for Laboratories (2021-22),Engineering Workshops (2021-22),Studios (2021-22),Other expenditure on creation of Capital Assets (2021-22),Salaries (2023-24),Maintenance of Academic Infrastructure or consumables and other running expenditures (2023-24),Seminars/Conferences/Workshops (2023-24),Salaries (2022-23),Maintenance of Academic Infrastructure or consumables and other running expenditures (2022-23),Seminars/Conferences/Workshops (2022-23),Salaries (2021-22),Maintenance of Academic Infrastructure or consumables and other running expenditures (2021-22),Seminars/Conferences/Workshops (2021-22)
Iiser Berhampur Nirf Overall 2025,"51447615 (Five Crore Fourteen Lakh Forty Seven Thousand
Six Hundred Fifteen Only)","790200851 (Seventy Nine Crore Two Lakh Eight Hundred Fifty
One Only)",0 (Zero),0 (Zero),"115946552 (Eleven Crore Fifty Nine Lakh Forty Six Thousand
Five Hundred Fifty Two Only)","7987863 (Seventy Nine Lakh Eighty Seven Thousand Eight
Hundred and Sixty Three Only)","782867955 (Seventy eight Crore Twenty eight Lakh Sixty
seven Thousand and Fifty five Only)",0 (Zero),0 (Zero),"38072215 (Three Crore Eighty Lakh Seventy two Thousand
Two Hundred and Fifteen Only)","4686284 (Forty six Lakh Eighty Six Thousand Two Hundred
Eighty Four Only)","110694864 (Eleven Crore Six Lakh Ninety four Thousand Eight
Hundred and Sixty four Only)",0 (Zero),0 (Zero),"33786532 (Three Crore Thirty seven Lakh Eighty six Thousand
Five Hundred and Thirty two Only)","178096713 (Seventeen Crore Eighty Lakh Ninety Six
Thousand Seven Hundred Thirteen Only)","247223092 (Twenty Four Crore Seventy Two Lakh Twenty
Three Thousand Ninety Two Only)","765682 (Seven Lakh Sixty Five Thousand Six Hundred Eighty
Two Only)","136025376 (Thirteen Crore Sixty Lakh Twenty five Thousand
Three Hundred and Seventy six Only)","184568682 (Eighteen Crore Forty five Lakh Sixty eight
Thousand Six Hundred and Eighty two Only)","288427 (Two Lakh Eighty eight Thousand Four Hundred and
Twenty seven Only)","108992865 (Ten Crore Eighty nine Lakh Ninety two Thousand
Eight Hundred and Sixty five Only)","116146169 (Eleven Crore Sixty one Lakh Forty six Thousand
One Hundred and Sixty nine Only)","650832 (Six Lakh Fifty Thousand Eight Hundred and Thirty two
Only)"
Iiser Bhopal Nirf Overall 2025,"72644901 (Seven crore twenty six lakh forty four thosand nine
hundred one only)","400243906 (Forty crore two lakh forty three thousand nine
hundred six only)","53670604 (Five crore thrity six lakh seventy thousand six
hundred four only)",0 (Zero),"154256756 (Fifteen crore forty two lakh fifty six thousand seven
hundred fifty six only)","49207477 (Four Crore Ninety Two Lakh Seven Thousand Four
Hundred Seventy Seven Only)","285659387 (Twenty Eight Crore Fifty Six Lakh Fifty Nine
Thousand Three Hundred Eighty Seven Only)","36073438 (Three Crore Sixty Lakh Seventy Three Thousand
Four Hundred Thirty Eight Only)",0 (Zero),"26719057 (Two Crore Sixty Seven Lakh Nineteen Thousand
Fifty Seven Only)","63554132 (Six Crore Thirty Five Lakh Fifty Four Thousand One
Hundred Thirty Two)","152051546 (Fifteen Crore Twenty Lakh Fifty One Thousand
Five Hundred Forty Six)","46860663 (Four Crore Sixty Eight Lakh Sixty Thousand Six
Hundred Sixty Three)",0 (Zero),"20379817 (Two Crore Three Lakh Seventy Nine Thousand
Eight Hundred Seventeen)","749933098 (Seventy four crore ninety nine lakh thirty three
thousand ninety eight only)","942499912 (Ninety four crore twenty four lakh ninety nine
thousand nine hundred twelve only)","36206287 (Three crore sixty two lakh six thousand two
hundred eighty seven only)","655919794 (Sixty Five Crore Fifty Nine Lakh Nineteen
Thousand Seven Hundred And Ninety Four)","910340373 (Ninety One Crore Three Lakh Forty Thousand
Three Hundred Seventy Three Only )","28903564 (Two Crore Eighty Nine Lakh Three Thousand Sixty
Four Only)","562541121 (Fifty Six Crore Twenty Five Lakh Forty One
Thousand One Hundred Twenty One)","740533228 (Seventy Four Crore Five Lakh Thirty Three
Thousand Two Hundred Twenty Eight)","1525773 (Fifteen Lakh Twenty Five Thousand Seven Hundred
Seventy Three)"
Iiser Kolkata Nirf Overall 2025,"75481126 (Secen crore fifty four lakh eighty one thousand one
hundred and twenty six only)","272155095 (twenty seven crore twenty one lakh fifty five
thousand and ninety five only)",0 (Zero),0 (Zero),"58976086 (Five crore eighty nine lakh seventy six thousand
and eighty six only)","76880672 (Seven crore Sixty Eight Lakh Eighty Thousand Six
Hundred and Seventy Two only)","176673019 (Seventeen crore Sixty Six lakhs Seventy Three
Thousand and Nineteen only)",0 (Zero),0 (Zero),"89873747 (Eight crore Ninety Eight Lakhs Seventy Three
Thousand Swven Hundred and Forty seven only)","67843088 (Six Crore Seventy Eight Lakh  Forty Three
Thousand and Eighty Eight only)","94615002 (Nine Crore Forty Six Lakh Forty Fifteen Thousand
and two  only)",0 (Zero),0 (Zero),"76563822 (Seven Crore Sixty Five Lakh  Sixty Three Thousand
Eight Hundred and Twenty Two only)","641058618 (Sixty Seven Crore Ten Lakh Fifty Eight Thousand
Six Hundred Eighteen )","572165505 (Fifty Seven Crore Twenty One Lakh Sixty Five
Thousand Five Hundred Five )","6718955 (Sixty Seven Lakh Eighteen Thousand Nine Hundred
Fifty Five )","586183825 (Fifty Eight crore Sixty One lakhs Eighty Three
Thousand Eight Hundred and Twenty Five only)","529954390 (Fifty Two crores Ninety nine Lakhs Fifty four
thousand Three Hundred and Ninety only)","4791144 (Forty Seven Lahs Ninety One Thousand One
Hundred and Forty Four Only)","512356964 (Fifty One Crore Twenty Three Lakh Fifty Six
Thousand  Nine Hundred and Sixty Four only)","407573410 (Forty Crore Seventy Five Lakh Seventy Three
Thousand Four Hundred and Ten only)","985728 (Nine Lakh Eighty Five Thousand Seven Hundred and
Twenty Eight only)"
Iiser Mohali Nirf Overall 2025,"59421934 (Five crore ninety four lakh twenty one thousand
nine hundred thirty four only)","140710181 (Fourteen crore seven lakh ten thousand one
hundred eighty one only)",0 (Zero),0 (Zero),"37305771 (Three crore seventy three lakh five thousand seven
hundred seventy one only)","63328033 (Six Crore Thirty Three Lakh Twenty Eight
Thousand and Thirty Three Only)","103877663 (Ten Crore Thirty Eight Lakh Seventy Seven
Thousand  Six Hundred and Sixty Three Only)",0 (Zero),0 (Zero),"194169510 (Nineteen Crore Forty One Lakh Sixty Nine
Thousand Five Hundred and Ten Only)","53921359 (Five Crore Thirty Nine Lakh Twenty One Thousand
Three Hundred Fifty Nine only)","83470584 (Eight Crore Thirty Four Lakh Seventy Thousand
Five Hundred Eighty Four only)",0 (zero),0 (zero),"25171892 (Two Crore Fifty One Lakh Seventy One Thousand
Eight Hundred Ninety Two only)","588305348 (Fifty eight crore eighty three lakh five thousand
three hundred forty eight only)","511814421 (Fifty one crore eighteen lakh fourteen thousand
four hundred twenty one only)","11338463 (One crore thirteen lakh thirty eight thousand four
hundred sixty three only)","516423278 (Fifty One Crore Sixty Four Lakh Twenty Three
Thousand Two Hundred and Seventy Eight Only)","411855636 (Forty One Crore Eighteen Lakh Fifty Five
Thousand Six Hundred  And Thirty Six Only)","6569070 (Sixty Five Lakh Sixty Nine Thousand And Seventy
Only)","453027864 (Forty Five Crore Thirty Lakh Twenty Seven
Thousand Eight Hundred Sixty Four only)","370605627 (Thirty Seven Crore Six Lakh Five Thousand Six
Hundred Twenty Seven only)","5186914 (Fifty One Lakh Eighty Six Thousand Nine Hundred
Fourteen only)"
Iiser Pune Nirf Overall 2025,"68395822 (Six Crore Eighty Three Lakh Ninety Five Thousand
Eight Hundred Twenty Two)","282202560 (Twenty Eight Crore Twenty Two Lakh Two
Thousand Five Hundred Sixty)",0 (Zero),0 (Zero),"45716994 (Four Crore Fifty Seven Lakh Sixteen Thousand
Nine Hundred Ninety Four)","68288635 (Six Crore Eighty Two Lakh Eighty Eight Thousand
Six Hundred Thirty Five)","255432712 (Twenty Five Crore Fifty Four Lakh Thirty Two
Thousand Seven Hundred Twelve)",0 (Zero),0 (Zero),"53396892 (Five Crore Thirty Three Lakh Ninety Six Thousand
Eight Hundred Ninety Two)","63874512 (Six Crore Thirty Eight Lakh Seventy Four Thousand
Five Hundred Twelve)","276586059 (Twenty Seven Crore Sixty Five Lakh Eighty Six
Thousand Fifty Nine)",0 (Zero),0 (Zero),"44069295 (Four Crore Forty Lakh Sixty Nine Thousand Two
Hundred Ninety Five)","730067921 (Seventy Three Crore Sixty Seven Thousand Nine
Hundred Twenty One)","660524610 (Sixty Six Crore Five Lakh Twenty Four Thousand
Six Hundred Ten)","24742673 (Two Crore Forty Seven Lakh Forty Two Thousand
Six Hundred Seventy Three )","673939924 (Sixty Seven Crore Thirty Nine Lakh Thirty Nine
Thousand Nine Hundred Twenty Four)","595698749 (Fifty Nine Crore Fifty Six Lakh Ninety Eight
Thousand Seven Hundred Forty Nine)","834335 (Eight Lakh Thirty Four Thousand Three Hundred
Thirty Five)","638620490 (Sixty Three Crore Eighty Six Lakh Twenty
Thousand Four Hundred Ninety)","555577582 (Fifty Five Crore Fifty Five Lakh Seventy Seven
Thousand Five Hundred Eighty Two)",45710 (Forty Five Thousand Seven Hundred Ten)
Iiser Thiruvananthapuram Nirf Overall 2025,"49401423 (Four Crore Ninety four Lakh One Thousand Four
Hundred Twenty three)","287375628 (Twenty eight crore seventy three lakh seventy five
thousand six hundred and twenty eight)",0 (Zero),"28081180 (Two crore eighty lakh eighty one thousand one
hundred and eighty)","108172558 (Ten crores eighty one lakh seventy two thousand
five hundred and fifty eight)","41530219 (Four crore fifteen lakh thirty thousand two hundred
nineteen)","310752213 (Thirty one crore seven lakh fifty two thousand two
hundred and thirteen)",0 (Zero),"8817860 (Eighty eight lakh seventeen thousand eight hundred
and sixty)","37463561 (Three crore seventy four lakh sixty three thousand
five hundred and sixty one)","22815070 (Two crore twenty eight lakh fifteen thousand
seventy )","106452022 (Ten crore sixty four lakh fifty two thousand twenty
two)",0 (zero),508700 (Five lakh eight thousand seven hundred ),"46970210 (Four crore sixty nine lakh seventy thousand two
hundred ten)","426967606 (Fourty two crores sixty nine lakh sixty seven
thousand six hundred and six)","611247390 (Sixty one crore twelve lakh fourty seven thousand
three ninty)","22763534 (Two crores twenty seven lakh sixty three lakh five
hundred and thirty four)","334645150 (Thirty three crore forty six lakh forty five thousand
one hundred and fifty)","438114072 (Forty three crore eighty one lakh fourteen
thousand and seventy two)","15845518 (One crore fifty eight lakh forty five thousand five
hundred and eighteen)","363727294 (Thirty six crore thirty seven lakh twenty seven
thousand two hundred ninety four)","275327695 (Twenty seven crore fifty three lakh twenty seven
thousand six hundred ninety five)",461126 (Four lakh sixty one thousand one hundred twenty six)
Iiser Tirupati Nirf Overall 2025,"2505191 (Twenty Five Lakh Five Thousand One Hundred
Ninety One )","161660170 (Sixteen Crore Sixteen Lakh Sixty Thousand One
Hundred Seventy )",0 (Zero),0 (Zero),"81422485 (Eight Crore Fourteen Lakh Twenty Two Thousand
Four Hundred Eighty Five )","18237994 (one crore eighty two lakh thirty seven thousand
nine hundred and ninety four)","135213997 (thirteen crore fifty two lakh thirteen thousand nine
hundred and ninety seven)",0 (zero),0 (zero),"59360164 (five crore ninety three lakh sixty thousand one
hundred and sixty four)","17590889 (one crore seventy five lakh ninety thousand eight
hundred and eighty nine)","221520999 (twenty two crore fifteen lakh twenty thousand nine
hundred and ninety nine)",0 (zero),0 (zero),"55634618 (five crore fifty six lakh thirty four thousand six
hundred and eighteen)","246372944 (Twenty Four Crore Sixty Three Lakh Seventy Two
Thousand Nine Hundred Forty Four )","468949284 (Forty Six Crore Eighty Nine Lakh Forty Nine
Thousand Two Hundred Eighty Four )","3989845 (Thirty Nine Lakh Eighty Nine Thousand Eight
Hundred Forty Five )","219799657 (twenty one crore ninety seven lakh  ninety nine
thousand six hundred and fifty seven)","318365935 (thirty one crore eighty three lakh sixty five
thousand nine hundred and thirty five)","312794 (three lakh twelve thousand seven hundred and ninety
four)","182343288 (eighteen crore twenty three lakh forty three
thousand two hundred and eighty eight)","249276662 (twenty four crore ninety two lakh seventy six
thousand six hundred and sixty two)",200000 (two lakhs)
