0,1,2,3
Financial Year,2023-24,2022-23,2021-22
"Total no. of Executive Development Programs/ Management
Development Programs",8,8,18
Total no. of Participants,309,211,1090
"Total Annual Earnings (Amount in Rupees)(Excluding Lodging
& Boarding Charges)",185367156,194638053,199299376
Total Annual Earnings in Words,"Eighteen crores fifty three lakh sixty seven thousand  one
hundred fifty six only","Nineteen Crores Forty Six Lakhs Thirty Eight Thousand Fifty
Three Only","Nineteen Crores Ninety Two Lakhs Ninety Nine Thousand
Three Hundred Seventy Six Only"
