Description,Value
Academic Year: 2023-24,1161
Academic Year: 2022-23,1059
Academic Year: 2021-22,1039
Academic Year: 2020-21,1030
Academic Year: 2019-20,178
Academic Year: 2023-24,80
Academic Year: 2022-23,182
Academic Year: 2021-22,202
Academic Year: 2020-21,211
Academic Year: 2019-20,178
Academic Year: 2023-24,1558
Academic Year: 2022-23,1543
UG [4 Years Program(s)]: 2023-24,1161
UG [4 Years Program(s)]: 2022-23,1059
UG [4 Years Program(s)]: 2021-22,1039
UG [4 Years Program(s)]: 2020-21,1030
UG [5 Years Program(s)]: 2023-24,80
UG [5 Years Program(s)]: 2022-23,182
UG [5 Years Program(s)]: 2021-22,202
UG [5 Years Program(s)]: 2020-21,211
UG [5 Years Program(s)]: 2019-20,178
PG [2 Year Program(s)]: 2023-24,1558
PG [2 Year Program(s)]: 2022-23,1543
