0,1,2,3
Academic Year,2023-24,2022-23,2021-22
,Utilised Amount,Utilised Amount,Utilised Amount
Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings),Annual Capital Expenditure on Academic Activities and Resources (excluding expenditure on buildings)
"Library ( Books, Journals and e-Resources only)",172854705 (Seventeen Crore Twenty Eight Lakh Fifty FourThousand Seven Hundred Five Only),171675951 (Seventeen Crore Sixteen Lakh Seventy FiveThousand Nine Hundred Fifty One),183339247 (Eighteen Crore Thirty Three Lakh Thirty NineThousand Two Hundrede Forty Seven)
New Equipment and software for Laboratories,2563276596 (Two Hundred Fifty Six Crore Thirty Two LakhSeventy Six Thousand Five Hundred Ninety Six Only),2521491633 (Two hundred Fifty Two Crore Fourteen LakhNinety One Thousand Six Hundred Thirty Three),2372989697 (Two Hundred Thirty Seven Crore Twenty NineLakh Eighty Nine Thousand Six Hundred Ninety Seven)
Engineering Workshops,5271461 (Fifty Two Lakh Seventy One Thousand FourHundred Sixty One Only),2429151 (Twenty Four Lakh Twenty Nine Thousand OneHundred Fifty One),44456874 (Four Crore Forty Four Lakh Fifty Six ThousandEight Hundred Seventy Four)
"Other expenditure on creation of Capital Assets (For setting upclassrooms, seminar hall, conference hall , library, Lab, Enggworkshops excluding expenditure on Land and Building)",127478339 (Twelve Crore Seventy Four Lakh Seventy EightThousand Three Hundred Thirty Nine Only),2754683233 (Two Hundred Seventy Five Crore Forty Six LakhEighty Three Thousand Two Hundred Thirty Three),1396232731 (One Hunred Thirty Nine Crore Sixty Two LakhThirty Thousand Seven Hundred Thirty One)
