Description,Value
Srno - Age,29 - 62
Srno - Designation,29 - Professor
Srno - Gender,29 - Male
Srno - Qualification,29 - Ph.D
Srno - Experience (In Months),29 - 378
Srno - Currently working with institution?,29 - Yes
Srno - Joining Date,29 - 02-11-1998
Srno - Association type,29 - Regular
Srno - Name,30 - Sarthak Gaurav
Srno - Age,30 - 39
Srno - Designation,30 - Assistant Professor
Srno - Gender,30 - Male
Srno - Qualification,30 - Ph.D
Srno - Experience (In Months),30 - 138
Srno - Currently working with institution?,30 - Yes
Srno - Joining Date,30 - 13-09-2015
Srno - Association type,30 - Regular
Srno - Name,31 - Shivganesh Bhargava
Srno - Age,31 - 65
Srno - Designation,31 - Professor
Srno - Gender,31 - Male
Srno - Qualification,31 - Ph.D
Srno - Experience (In Months),31 - 474
Srno - Currently working with institution?,31 - Yes
Srno - Joining Date,31 - 04-03-1991
Srno - Association type,31 - Regular
Srno - Name,32 - Snehal Awate
Srno - Age,32 - 42
Srno - Designation,32 - Assistant Professor
Srno - Gender,32 - Female
Srno - Qualification,32 - Ph.D
Srno - Experience (In Months),32 - 162
Srno - Currently working with institution?,32 - Yes
Srno - Joining Date,32 - 09-01-2020
Srno - Association type,32 - Regular
Srno - Name,33 - Sonti Venkata Durga Nageswara Rao
Srno - Age,33 - 58
Srno - Designation,33 - Professor
Srno - Gender,33 - Male
Srno - Qualification,33 - Ph.D
Srno - Experience (In Months),33 - 342
Srno - Currently working with institution?,33 - Yes
Srno - Joining Date,33 - 01-08-1997
Srno - Association type,33 - Regular
Srno - Name,34 - Soumya Rajan
Srno - Age,34 - 39
Srno - Designation,34 - Assistant Professor
Srno - Gender,34 - Female
Srno - Qualification,34 - Ph.D
Srno - Experience (In Months),34 - 162
Srno - Currently working with institution?,34 - Yes
Srno - Joining Date,34 - 10-07-2024
Srno - Association type,34 - Regular
Srno - Name,35 - Sudeep Bapat
Srno - Age,35 - 34
Srno - Designation,35 - Assistant Professor
Srno - Gender,35 - Male
Srno - Qualification,35 - Ph.D
Srno - Experience (In Months),35 - 51
Srno - Currently working with institution?,35 - Yes
Srno - Joining Date,35 - 08-01-2024
Srno - Association type,35 - Regular
Srno - Name,36 - Suhrid Brahma
Srno - Age,36 - 53
Srno - Designation,36 - Other
Srno - Gender,36 - Male
Srno - Qualification,36 - MBA
Srno - Experience (In Months),36 - 325
Srno - Currently working with institution?,36 - Yes
Srno - Joining Date,36 - 27-06-2018
Srno - Association type,36 - Visiting
Srno - Name,37 - T T Niranjan
Srno - Age,37 - 50
Srno - Designation,37 - Associate Professor
Srno - Gender,37 - Male
Srno - Qualification,37 - Ph.D
Srno - Experience (In Months),37 - 234
Srno - Currently working with institution?,37 - Yes
Srno - Joining Date,37 - 01-12-2011
Srno - Association type,37 - Regular
Srno - Name,38 - Trupti Mishra
Srno - Age,38 - 48
Srno - Designation,38 - Associate Professor
Srno - Gender,38 - Female
Srno - Qualification,38 - Ph.D
Srno - Experience (In Months),38 - 234
Srno - Currently working with institution?,38 - Yes
Srno - Joining Date,38 - 11-01-2008
Srno - Association type,38 - Regular
Srno - Name,39 - Usha Ananthakumar
Srno - Age,39 - 56
Srno - Designation,39 - Professor
Srno - Gender,39 - Female
Srno - Qualification,39 - Ph.D
Srno - Experience (In Months),39 - 318
Srno - Currently working with institution?,39 - Yes
Srno - Joining Date,39 - 20-03-2001
Srno - Association type,39 - Regular
Srno - Name,40 - Varadraj B Bapat
Srno - Age,40 - 52
Srno - Designation,40 - Professor
Srno - Gender,40 - Male
Srno - Qualification,40 - Ph.D
Srno - Experience (In Months),40 - 270
Srno - Currently working with institution?,40 - Yes
Srno - Joining Date,40 - 08-07-2008
Srno - Association type,40 - Regular
Srno - Name,41 - Vinish Kumar Kathuria
Srno - Age,41 - 57
Srno - Designation,41 - Professor
Srno - Gender,41 - Male
Srno - Qualification,41 - Ph.D
Srno - Experience (In Months),41 - 258
Srno - Currently working with institution?,41 - Yes
Srno - Joining Date,41 - 27-08-2007
Srno - Association type,41 - Regular
