0,1,2,3
Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.),Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.),Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.),Ph.D (Student pursuing doctoral program till 2023-24 Students admitted in the academic year 2024-25 should not be entered here.)
,,Total Students,Total Students
Full Time,Full Time,2866,2866
Part Time,Part Time,546,546
No. of Ph.D students graduated (including Integrated Ph.D),No. of Ph.D students graduated (including Integrated Ph.D),No. of Ph.D students graduated (including Integrated Ph.D),No. of Ph.D students graduated (including Integrated Ph.D)
,2023-24,2022-23,2021-22
Full Time,409,295,238
Part Time,55,60,69
