0,1,2,3
Financial Year,2023-24,2022-23,2021-22
Total no. of Consultancy Projects,521,533,368
Total no. of Client Organizations,431,459,314
Total Amount Received (Amount in Rupees),475309217,659733684,431097403
Amount Received in Words,Forty Seven Crore Fifty Three Lakh Nine Thousand TwoHundred Seventeen,Sixty Five Crore Ninety Seven Lakhs Thirty Three ThousandSix Hundred Eighty Four,Forty Three Crore Ten Lakh Ninety SZeven Thousand FourHundred Three
