0,1,2,3
Financial Year,2023-24,2022-23,2021-22
Total no. of Consultancy Projects,1263,1178,993
Total no. of Client Organizations,781,729,627
Total Amount Received (Amount in Rupees),1260700489,996328396,668900000
Amount Received in Words,"One Hundred Twenty Six Crore Seven Lakh Four Hundred and
Eighty Nine Only","Ninety Nine Crore Sixty Three Lakhs Twenty Eight Thousand
Three Hundred and Ninety Six Only",Sixty Six Crores Eighty Nine lakhs Only
