Description,Value
Financial Year - 2023-24,2023-24
Financial Year - 2022-23,2022-23
Financial Year - 2021-22,2021-22
Total no. of Consultancy Projects - 2023-24,1263
Total no. of Consultancy Projects - 2022-23,1178
Total no. of Consultancy Projects - 2021-22,993
Total no. of Client Organizations - 2023-24,781
Total no. of Client Organizations - 2022-23,729
Total no. of Client Organizations - 2021-22,627
Total Amount Received (Amount in Rupees) - 2023-24,1260700489
Total Amount Received (Amount in Rupees) - 2022-23,996328396
Total Amount Received (Amount in Rupees) - 2021-22,668900000
Amount Received in Words - 2023-24,One Hundred Twenty Six Crore Seven Lakh Four Hundred and Eighty Nine Only
Amount Received in Words - 2022-23,Ninety Nine Crore Sixty Three Lakhs Twenty Eight Thousand Three Hundred and Ninety Six Only
Amount Received in Words - 2021-22,Sixty Six Crores Eighty Nine lakhs Only
