0,1,2,3
Financial Year,2023-24,2022-23,2021-22
Total no. of Sponsored Projects,1006,589,714
Total no. of Funding Agencies,409,242,213
Total Amount Received (Amount in Rupees),3672207091,3302728430,3748347370
Amount Received in Words,Three Hundred Sixty Seven Crore Twenty Two Lakhs SevenThousand Ninety One,Three Hundred Thirty Crore Twenty Seven Lakh Twenty EightThousand Four Hundred Thirty,Three Hundred Seventy Four Crore Eighty Three Lakh FortySeven Thousand Three Hundred Seventy
